1772580516.197845 client started (25467): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1772580516.197857 on Linux 6.17.9-76061709-generic #202511241048~1764607909~24.04~df6b2b6 SMP PREEMPT_DYNAMIC Mon D
1772580516.198562 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198564 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198566 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198568 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198569 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198571 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198573 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198575 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198577 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198578 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198580 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198582 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198584 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198586 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198587 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198589 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198591 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198593 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198595 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198596 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198598 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198600 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198602 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198604 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198605 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198607 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198609 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198611 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198613 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198614 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198616 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198618 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198622 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198624 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198625 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198627 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198629 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198631 sending message 112 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198633 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198635 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198636 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198638 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198640 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198642 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198644 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198645 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198647 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198649 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198651 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198653 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198654 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198656 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198658 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198660 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198661 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198663 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198665 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198667 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198669 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198670 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198672 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198674 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198676 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198677 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198679 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198681 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198683 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198685 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198686 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198688 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198690 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198692 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198693 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198695 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198697 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198699 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198701 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198702 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198704 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198706 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198708 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198710 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
